buurtcode,buurtnaam,wijkcode,gemeentecode,gemeentenaam,indelingswijziging_wijken_en_buu,water,meest_voorkomende_postcode,dekkingspercentage,omgevingsadressendichtheid,stedelijkheid_adressen_per_km2,bevolkingsdichtheid_inwoners_per,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaa,percentage_personen_15_tot_25_ja,percentage_personen_25_tot_45_ja,percentage_personen_45_tot_65_ja,percentage_personen_65_jaar_en_o,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,geboorte_totaal,geboortes_per_1000_inwoners,sterfte_totaal,sterfte_relatief,aantal_huishoudens,percentage_eenpersoonshuishouden,percentage_huishoudens_zonder_ki,percentage_huishoudens_met_kinde,gemiddelde_huishoudsgrootte,percentage_westerse_migratieacht,percentage_niet_westerse_migrati,percentage_uit_marokko,percentage_uit_nederlandse_antil,percentage_uit_suriname,percentage_uit_turkije,percentage_overige_nietwestersem,aantal_bedrijven_landbouw_bosbou,aantal_bedrijven_nijverheid_ener,aantal_bedrijven_handel_en_horec,aantal_bedrijven_vervoer_informa,aantal_bedrijven_financieel_onro,aantal_bedrijven_zakelijke_diens,aantal_bedrijven_overheid_onderw,aantal_bedrijven_cultuur_recreat,aantal_bedrijfsvestigingen,woningvoorraad,gemiddelde_woningwaarde,percentage_eengezinswoning,percentage_meergezinswoning,percentage_bewoond,percentage_koopwoningen,percentage_huurwoningen,perc_huurwoningen_in_bezit_wonin,perc_huurwoningen_in_bezit_overi,percentage_woningen_met_eigendom,percentage_bouwjaarklasse_tot_20,percentage_bouwjaarklasse_vanaf_,percentage_leegstand_woningen,gemiddeld_gasverbruik_totaal,gemiddeld_gasverbruik_appartemen,gemiddeld_gasverbruik_tussenwoni,gemiddeld_gasverbruik_hoekwoning,gemiddeld_gasverbruik_2_onder_1_,gemiddeld_gasverbruik_vrijstaand,gemiddeld_gasverbruik_huurwoning,gemiddeld_gasverbruikkoopwoning,gemiddeld_elektriciteitsverbruik,v72,v73,v74,gem_elektriciteitsverbruik_2_ond,gem_elektriciteitsverbruik_vrijs,v77,v78,opleidingsniveau_hoog,opleidingsniveau_middelbaar,opleidingsniveau_laag,netto_arbeidsparticipatie,percentage_werknemers,percentage_zelfstandigen,aantal_inkomensontvangers,gemiddeld_inkomen_per_inkomenson,gemiddeld_inkomen_per_inwoner,percentage_personen_met_laag_ink,percentage_personen_met_hoog_ink,percentage_huishoudens_met_laag_,percentage_huishoudens_met_hoog_,percentage_huishoudens_onder_of_,percentage_huishoudens_met_lage_,aantal_personen_met_een_ao_uitke,aantal_personen_met_een_ww_uitke,aantal_personen_met_een_alg_bijs,aantal_personen_met_een_aow_uitk,gemiddeld_gestandaardiseerd_inko,huishoudens_tot_110_percent_van_,huishoudens_tot_120_percent_van_,percentage_HH120,mediaan_vermogen_van_particulier,aantal_jongeren_met_jeugdzorg_in,percentage_jongeren_met_jeugdzor,aantal_wmo_clienten,aantal_wmo_clienten_per_1000_inw,personenautos_totaal,personenautos_per_huishouden,personenautos_per_km2,motortweewielers_totaal,aantal_personenautos_met_brandst,aantal_personenautos_met_overige,oppervlakte_totaal_in_ha,oppervlakte_land_in_ha,oppervlakte_water_in_ha,huisartsenpraktijk_gemiddelde_af,huisartsenpraktijk_gemiddeld_aan,v117,v118,huisartsenpost_gemiddelde_afstan,apotheek_gemiddelde_afstand_in_k,ziekenhuis_incl_buitenpoliklinie,ziekenhuis_incl_buitenpoli_gem_a,v123,v124,ziekenhuis_excl_buitenpoliklinie,ziekenhuis_excl_buitenpoli_gem_a,v127,v128,grote_supermarkt_gemiddelde_afst,grote_supermarkt_gemiddeld_aanta,v131,v132,winkels_ov_dagelijkse_levensm_ge,winkels_ov_dagel_levensm_gem_aan,v135,v136,warenhuis_gemiddelde_afstand_in_,warenhuis_gemiddeld_aantal_binne,v139,v140,cafe_gemiddelde_afstand_in_km,cafe_gemiddeld_aantal_binnen_1_k,cafe_gemiddeld_aantal_binnen_3_k,cafe_gemiddeld_aantal_binnen_5_k,cafetaria_gemiddelde_afstand_in_,cafetaria_gemiddeld_aantal_binne,v147,v148,restaurant_gemiddelde_afstand_in,restaurant_gemiddeld_aantal_binn,v151,v152,hotel_gemiddelde_afstand_in_km,hotel_gemiddeld_aantal_binnen_5_,hotel_gemiddeld_aantal_binnen_10,hotel_gemiddeld_aantal_binnen_20,kinderdagverblijf_gemiddelde_afs,kinderdagverblijf_gemiddeld_aant,v159,v160,buitenschoolse_opvang_gem_afstan,buitenschoolse_opvang_gemiddeld_,v163,v164,basisonderwijs_gemiddelde_afstan,basisonderwijs_gemiddeld_aantal_,v167,v168,voortgezet_onderwijs_gem_afstand,voortgezet_onderwijs_gemiddeld_a,v171,v172,vmbo_gemiddelde_afstand_in_km,vmbo_gemiddeld_aantal_binnen_3_k,vmbo_gemiddeld_aantal_binnen_5_k,vmbo_gemiddeld_aantal_binnen_10_,havo_vwo_gemiddelde_afstand_in_k,havo_vwo_gemiddeld_aantal_binnen,v179,v180,brandweerkazerne_gemiddelde_afst,oprit_hoofdverkeersweg_gemiddeld,treinstation_gemiddelde_afstand_,overstapstation_gemiddelde_afsta,zwembad_gemiddelde_afstand_in_km,kunstijsbaan_gemiddelde_afstand_,bibliotheek_gemiddelde_afstand_i,poppodium_gemiddelde_afstand_in_,bioscoop_gemiddelde_afstand_in_k,bioscoop_gemiddeld_aantal_binnen,v191,v192,sauna_gemiddelde_afstand_in_km,zonnebank_gemiddelde_afstand_in_,attractiepark_gemiddelde_afstand,attractiepark_gemiddeld_aantal_b,v197,v198,theater_gemiddelde_afstand_in_km,theater_gemiddeld_aantal_binnen_,v201,v202,gemiddelde_afstand_tot_museum,gemiddeld_aantal_musea_binnen_5_,gemiddeld_aantal_musea_binnen_10,gemiddeld_aantal_musea_binnen_20,jrstatcode,jaar,leefbarometer,afw,fysiekeomgeving,overlastonveiligheid,socialesamenhang,voorzieningen,v215,ervarengezondheidgoedzeergoed_4,hoogrisicoopangstofdepressie_25,heelveelstressinafgelopen4weken_,eenofmeerlangdurigeaandoeningen_,beperktvanwegegezondheid_17,ernstigbeperktvanwegegezondheid_,langdurigeziekteenbeperkt_19,overgewicht_9,roker_11,voldoetaanalcoholrichtlijn_12,ernstigzeerernstigeenzaam_28,bevolkingsdichtheid,percentage_65plus,percentage_1perHH,percentage_koop,netto_arbeidspa,percentage_niet_w,percentage_migr_w,percentage_hoogOpg,percentage_bijst,percentage_ww,percentage_ao,percentage_mannen,risk_depression,high_stress,perceived_health,chronic_disease,stedelijkheid_adressen_per_km2_n,bevolkingsdichtheid_n,percentage_mannen_n,percentage_gehuwd_n,percentage_65plus_n,geboortes_per_1000_inwoners_n,percentage_1perHH_n,gemiddelde_woningwaarde_n,percentage_hoogOpg_n,percentage_koop_n,percentage_bijst_n,percentage_ww_n,percentage_ao_n,netto_arbeidspa_n,percentage_HH120_n,percentage_niet_w_n,percentage_migr_w_n,missing_indicator,residuals_dep,z_scores_dep,residuals_stress,z_scores_stress,residuals_health,z_scores_health,residuals_chronic,z_scores_chronic,orig_order,z_scores_health_id,z_scores_dep_id,z_scores_stress_id,z_scores_chronic_id
BU00340301,Centrum Almere Buiten,WK003403,GM0034,Almere,1,NEE,1334,1,2329,2,4564,2040,935,1105,13,9,37,20,21,55,23,14,9,30,13,65,32,1115,55,18,26,"1,7",10,39,4,5,15,1,14,0,30,130,15,10,45,25,45,300,1195,154,15,85,95,19,69,59,10,11,52,48,5,690,640,860,1080,,,650,830,2060,1910,2870,2900,,,1920,2650,350,780,460,63,91,9,1600,,,44,10,62,5,13,12,150,40,120,400,"-99999999,0","19,8","24,6",24.6,"2,6",30,"7,4",370,181,600,"0,5",1347,35,505,95,45,45,0,"1,0","0,5","6,2","11,3","5,6","1,2","5,6","0,0","1,0","2,0","5,6","0,0","1,0","1,0","0,3","3,1","8,7","14,8","0,1","15,2","23,1","30,5","0,5","1,0","3,0","4,0","0,5","1,0","4,0","7,0","0,2","16,3","33,5","43,3","0,2","9,0","23,2","39,7","5,5","0,0","6,3","9,9","0,3","5,2","34,8","71,2","0,2","5,4","39,1","72,0","0,6","3,7","15,6","31,6","1,1","3,5","6,3","12,1","1,1","3,5","6,3","10,1","1,1","2,0","3,3","6,1","1,5","2,0","0,4","5,6","0,5","29,6","0,5","5,9","6,0","0,0","1,0","1,0","3,4","0,7","2,8","5,0","5,0","34,0","5,9","0,0","2,0","2,0","19,7","0,0","0,0","2,8",2020BU00340301,2020,"4,11569289071783","1,34280395741483e-02","6,09051768101460e-03","2,29780536843740e-02","2,56092013836885e-02","-3,60909624673109e-02","-5,15877070761827e-03",    73.4,     2.9,     6.3,55,58.5,12.1,55.5,    58.1,     8.7,"50,6","7,5",4564,21,55,19,63,39,10,17.156862,5.8823528,1.9607843,7.352941,45.833332,2.9,6.3,73.40000000000001,12.1,-.52059752,-.22977357,-1.8422375,-1.7491922,.1566125,.77994084,1.3605479,-1.0408208,-.55285347,-1.9190907,1.4700991,1.1212327,1.502964,-.76163954,1.5684457,1.9897673,-.092260562,0,-3.9594376,-4.0594535,-2.6121187,-2.9227276,17.976717,5.5143576,.33084011,.30162111,67,1,1,11,3427
BU00340303,Seizoenenbuurt,WK003403,GM0034,Almere,1,NEE,1335,1,1883,2,3635,5075,2535,2545,18,15,26,33,7,52,37,9,1,60,11,15,3,2020,25,24,51,"2,5",11,28,3,3,10,1,11,0,55,50,50,20,120,90,55,445,1929,251,90,10,99,73,27,19,8,0,89,11,1,1000,690,920,1080,1390,1700,870,1050,3180,1890,3130,3340,4190,4500,2420,3470,1070,2010,980,73,87,13,4000,35,27,37,23,27,26,5,6,230,110,100,290,"-99999999,0","7,5","9,0",9,"65,7",135,"8,5",140,28,2110,"1,0",1513,215,1660,450,143,140,4,"0,9","1,3","5,8","9,7","6,7","0,9","6,7","0,0","1,0","2,0","6,7","0,0","1,0","1,0","0,5","1,4","7,8","12,3","0,5","2,2","22,0","27,3","1,7","1,0","3,0","4,0","1,3","0,2","4,0","6,0","1,0","2,1","33,0","38,6","1,0","2,9","23,6","30,2","6,5","0,0","6,0","9,0","0,5","3,6","32,9","53,0","0,5","6,3","36,9","52,6","0,5","2,5","15,3","21,6","1,6","3,9","4,9","12,0","1,6","3,9","4,9","10,0","1,7","2,0","2,0","6,0","1,2","1,3","1,3","6,7","1,7","30,7","1,6","6,9","7,2","0,0","1,0","1,0","4,6","1,8","4,0","3,8","5,0","34,5","6,9","0,0","2,0","2,0","20,8","0,0","0,0","0,0",2020BU00340303,2020,"3,86145799468847","-2,40806856455220e-01","1,83878726829839e-02","-1,47221392407361e-01","-6,02993720240241e-02","-1,42515967830456e-02","-3,74223679237732e-02",    53.7,     6.8,     8.7,49.799999,45.299999,7.4000001,42.799999,    64.7,    15.6,"65,0","15,6",3635,7,25,73,73,28,11,21.083744,1.9704434,2.1674876,4.5320196,49.950741,6.8,8.699999999999999,53.7,7.4000001,-.52059752,-.44438562,.20034856,-.18323435,-1.5532076,.30603889,-.83171684,-.18617882,-.21225086,.65745652,-.17588201,1.5359622,.13886681,.62690192,-.42342773,1.1533661,.078980632,0,2.2075231,2.2632854,1.2675723,1.4183002,-13.22804,-4.0577006,-.4469083,-.40743846,69,5222,5096,4847,1756
BU01710323,Luttelgeest-landelijk gebied,WK017103,GM0171,Noordoostpolder,1,NEE,8315,1,66,5,37,1395,825,570,20,13,37,23,7,58,38,3,2,20,15,5,1,265,14,40,45,"2,8",4,46,0,0,0,4,42,135,15,15,5,15,25,15,5,225,572,232,73,27,46,42,58,0,58,0,46,54,54,2020,990,1200,1420,1290,2370,2070,2010,4360,1980,3050,3690,3520,4840,4090,4400,230,510,350,81,60,40,600,,,36,23,17,37,3,3,30,0,0,80,"-99999999,0","3,1","4,2",4.2,"307,9",15,"3,7",15,11,490,"1,9",13,45,295,200,3805,3762,44,"4,2","0,0","0,1","0,8","11,2","4,1","10,3","0,0","0,8","3,0","31,3","0,0","0,0","0,0","3,9","0,0","0,1","0,8","2,3","0,0","0,7","1,4","9,4","0,0","0,7","3,3","5,6","0,0","0,0","0,1","6,8","0,0","0,0","0,1","2,0","0,1","1,4","3,6","6,6","0,0","2,9","16,3","2,7","0,1","0,8","3,9","3,3","0,2","0,5","2,2","1,2","0,5","1,0","2,9","9,5","0,0","0,0","6,7","9,5","0,0","0,0","6,0","9,7","0,0","0,0","2,0","4,0","1,2","20,8","38,6","9,3","29,0","4,7","37,3","24,3","0,0","0,0","0,0","31,4","21,2","19,7","0,0","0,7","19,9","9,7","0,0","0,7","1,0","11,5","0,0","0,3","5,7",2020BU01710323,2020,"4,17055259526105","6,82877441173639e-02","-2,26750231061774e-02","7,12405911123480e-02","1,05077411892854e-01","-2,35745576110934e-01","1,50390340329273e-01",    78.4,     1.3,     3.8,37.5,36.799999,6.5999999,34.099998,    55.7,    10.6,"50,0","6,2",37,7,14,42,81,46,4,16.487455,0,0,2.1505377,59.139786,1.3,3.8,78.40000000000001,6.5999999,1.6973211,-1.2755741,4.7588987,-.071380205,-1.5532076,1.2538428,-1.6355473,-.35358295,-.61091524,-.82167244,-1.0049688,-2.812885,-1.0127331,1.737735,-1.0363119,2.5220227,-1.1197077,0,-2.8876209,-2.9605625,-2.1132042,-2.3644867,11.07069,3.3959339,-.30379364,-.27696332,566,10,4,34,2045
BU02000605,Groot Zonnehoeve,WK020006,GM0200,Apeldoorn,1,NEE,7325,1,1583,2,1509,1770,940,830,20,12,26,24,17,67,29,4,0,25,14,20,13,385,9,24,67,"3,2",7,5,1,0,1,2,2,0,10,20,15,20,35,50,10,155,505,410,89,11,94,65,35,4,31,0,9,91,6,1310,1050,1230,1230,1480,1700,1400,1220,5140,3570,4950,5210,5750,5690,4400,5510,620,460,400,82,87,13,800,,,27,38,7,55,1,2,320,20,0,280,"-99999999,0","1,8","2,1",2.1,"151,4",45,"8,2",430,243,505,"1,3",431,40,410,95,117,117,0,"1,4","0,1","6,1","17,4","6,9","1,7","6,1","0,0","2,0","4,0","6,9","0,0","1,0","2,0","0,7","0,8","9,6","31,7","1,5","0,0","21,8","86,5","1,9","3,7","4,2","11,0","1,2","0,2","3,8","54,1","0,7","1,1","16,6","85,1","1,3","0,1","10,6","103,3","2,5","3,8","19,4","44,9","1,5","0,0","31,5","61,8","1,5","0,0","24,3","46,8","1,5","0,0","18,3","40,2","2,2","2,1","9,7","15,0","2,2","2,1","7,7","12,0","2,2","1,9","4,1","7,0","2,5","2,1","0,7","3,8","2,5","17,4","1,9","4,2","4,2","1,0","1,0","5,0","2,6","1,6","4,3","4,0","6,0","32,2","4,2","1,7","2,0","6,0","4,2","1,0","2,0","13,3",2020BU02000605,2020,"4,32797458785881","2,25709736715121e-01","1,27323649768451e-02","7,84614891190481e-02","9,45398581855160e-02","-1,79378887970710e-02","5,79139132307823e-02",    81.5,     1.8,     5.3,44,37.400002,4.0999999,35.599998,    53.1,     7.4,"44,5","6,6",1509,17,9,65,82,5,7,35.028248,0,1.1299435,18.079096,53.107346,1.8,5.3,81.5,4.0999999,-.52059752,-.93552148,1.7662938,-1.0780674,-.33190754,1.0168918,-2.0009246,1.2147293,.99724174,.27574584,-1.0049688,-.54576641,6.6897507,1.8765892,-1.3044487,-.59547287,-.60598415,0,-1.7844003,-1.8294744,-.8516295,-.95289731,12.053656,3.6974585,-4.4783344,-4.082819,710,5,114,713,1
BU02160005,Westelijke Buitenwijken,WK021600,GM0216,Culemborg,1,NEE,4105,1,1394,3,4602,7355,3625,3725,17,13,20,35,15,45,45,6,4,60,8,40,6,2940,25,30,45,"2,5",8,9,3,1,1,1,3,0,40,60,50,60,230,120,80,645,2933,309,86,14,99,80,20,18,2,0,69,31,1,870,480,760,920,1130,1370,590,940,3080,2100,2900,3160,3700,4090,2140,3310,2190,2340,1120,73,87,13,5700,40,31,33,29,23,34,3,3,200,100,60,990,"37,5","3,8","5,8",5.8,"156,1",150,"7,2",250,34,3405,"1,2",2132,230,2780,625,160,160,0,"0,8","0,7","4,6","5,0","16,5","0,8","2,3","1,0","1,0","6,9","16,5","0,0","0,0","2,0","0,7","1,9","6,7","7,2","0,6","3,5","24,9","26,3","2,0","1,0","1,0","10,6","1,8","0,1","7,7","8,0","0,6","2,4","19,0","20,0","0,8","1,3","17,7","20,0","11,3","0,0","0,0","18,9","0,4","4,4","14,7","17,2","0,4","6,3","16,3","20,0","0,5","3,4","8,9","11,1","2,3","4,6","6,0","6,0","2,3","4,0","5,0","5,0","2,3","2,2","3,0","3,0","1,6","1,9","1,9","22,5","2,7","27,2","1,9","21,0","14,2","0,0","0,0","1,4","13,4","1,6","8,7","1,0","5,9","32,8","2,1","1,0","2,0","6,2","1,6","2,0","2,0","16,0",2020BU02160005,2020,"3,81662815757243","-2,85636693571252e-01","-2,13206812836912e-02","-1,05966416283127e-01","-6,81879802024562e-02","-4,80707038409727e-02","-4,20909119610047e-02",    56.0,     6.2,     8.2,47.099998,46.599998,7.3000002,43.900002,    64.1,    12.6,"67,0","13,1",4602,15,25,80,73,9,8,29.775663,.81577158,1.3596193,2.7192385,49.286201,6.2,8.199999999999999,56,7.3000002,.21870868,-.22099504,-.12931965,.71159875,-.57616758,-.40481403,-.83171684,.32484427,.54165274,.99145341,-.66172349,-.084944911,-.73772961,.62690192,-.83201718,-.29132697,-.43474296,0,3.1663465,3.2463288,2.0369236,2.2791357,-15.793182,-4.8445582,.73171318,.66709006,823,5225,5180,5100,4105
BU03010203,Voorsteralleekwartier,WK030102,GM0301,Zutphen,1,NEE,7203,1,1010,3,1297,1605,835,775,16,15,33,21,15,49,42,6,3,20,11,15,7,530,42,29,29,"2,0",8,40,1,1,1,4,34,0,10,5,5,5,15,25,10,80,589,182,48,52,88,47,53,41,12,0,100,0,12,1230,970,1300,1560,1390,1830,970,1450,2410,1840,2640,2940,2740,3870,1890,2870,340,440,500,62,85,15,900,,,44,15,46,16,11,14,60,10,80,210,"-99999999,0","17,2","19,8",19.8,"38,7",35,"8,3",65,40,495,"0,9",399,35,425,70,124,124,0,"0,6","1,0","4,6","12,0","3,7","1,7","3,7","1,0","1,0","4,0","3,7","1,0","1,0","2,0","0,8","0,9","9,8","14,6","0,8","1,3","42,4","51,0","2,5","2,0","4,0","13,7","2,1","0,0","17,2","20,0","0,6","1,4","31,9","39,0","1,6","0,0","44,6","50,0","2,8","2,0","6,6","44,6","0,6","1,9","16,5","27,5","0,6","1,9","14,5","29,5","1,1","0,4","8,2","19,4","0,6","6,0","8,0","9,4","0,6","6,0","8,0","9,4","1,9","4,0","5,0","5,0","1,9","0,2","2,4","2,4","3,4","15,3","2,5","14,6","2,1","2,0","2,0","4,0","5,5","2,7","2,2","1,0","3,0","32,0","1,7","1,0","1,0","7,0","2,6","3,0","4,0","9,8",2020BU03010203,2020,"4,03121899543078","-7,10458557129062e-02","-2,20301833724384e-02","-1,77803550530618e-02","6,78828170668027e-03","-3,21799413951688e-02","-5,84365759891772e-03",    75.1,     3.0,     5.2,45.799999,43,6.6999998,40.599998,    54.4,     8.2,"52,4","8,2",1297,15,42,47,62,40,8,21.1838,4.9844236,.62305295,3.7383177,52.024921,3,5.2,75.09999999999999,6.6999998,.21870868,-.98449641,1.2293191,.37603635,-.57616758,.30603889,.41056648,-.79412007,-.20357242,-.58310324,1.0922849,-1.5627916,-.24493918,-.90049362,.95556158,2.0658038,-.43474296,0,-3.0138161,-3.0899453,-2.9195049,-3.2666652,13.441615,4.1232152,-2.6214333,-2.3899148,1185,3,3,5,43
BU03440121,Lombok-Oost,WK034401,GM0344,Utrecht,1,NEE,3531,1,4691,1,17630,2285,1110,1180,6,19,54,13,8,75,18,4,2,25,11,10,3,1475,63,25,12,"1,6",14,29,10,1,2,9,7,0,20,85,40,10,80,45,85,365,1112,267,33,67,94,28,70,29,41,1,82,18,6,880,790,1050,1080,,,900,830,1990,1850,2250,2490,,,2020,1940,1270,550,230,74,88,12,2000,,,40,22,57,13,9,9,90,30,70,180,"-99999999,0","12,1","14,4",14.4,"2,7",30,"8,0",110,48,460,"0,3",3561,50,370,95,13,13,0,"0,5","1,5","18,6","47,6","3,7","0,5","3,6","3,0","7,0","11,0","3,6","2,0","6,0","9,0","0,2","8,4","43,1","77,0","0,1","46,1","198,9","299,6","0,8","9,0","17,0","29,4","0,2","6,6","101,6","113,4","0,1","33,8","247,0","321,8","0,1","41,0","392,5","457,5","0,4","31,0","37,0","69,4","0,4","9,9","93,8","176,2","0,4","6,4","60,5","128,3","0,4","3,2","31,8","83,1","0,6","8,6","19,0","30,3","1,0","4,6","12,0","21,5","0,7","6,0","11,0","18,2","2,3","2,7","1,2","1,2","2,2","4,9","1,7","1,3","1,1","7,0","8,0","13,0","2,0","0,3","2,5","5,0","10,0","52,1","1,0","8,0","10,0","20,0","1,3","10,0","14,8","27,0",2020BU03440121,2020,"4,03156552275573","-7,06993283879538e-02","-7,03833179260508e-02","-2,03938292854581e-01","-7,55424424965629e-02","2,86394348415277e-01","-7,22962352603668e-03",    43.6,    12.2,    14.5,57.099998,59.700001,14.5,56.5,    68.0,    14.0,"79,0","17,0",17630,8,63,28,74,29,14,55.579868,3.0634573,1.3129103,3.938731,48.577679,12.2,14.5,43.6,14.5,-1.2599037,2.7886558,-.48080739,-2.3084629,-1.4310776,.30603889,1.9451518,-.045206938,2.7798102,-1.4896662,.28401619,-.17866173,-.14802647,.76575607,.26606694,1.2294025,.59270424,0,6.2958879,6.4549227,4.8973932,5.4797454,-18.526642,-5.6830468,5.4121742,4.9341841,1400,5226,5221,5220,5225
BU03440212,Pijlsweerd-Noord,WK034402,GM0344,Utrecht,1,NEE,3513,1,5275,1,10250,2095,1020,1075,13,14,42,20,11,67,24,7,3,25,13,10,6,1185,56,22,22,"1,8",13,30,11,1,2,8,7,0,25,20,30,5,65,40,50,235,1020,281,44,56,97,36,64,48,16,0,98,2,3,870,710,1040,1180,,,910,810,2060,1880,2280,2270,,,2000,2170,820,430,540,66,86,14,1700,,,45,20,56,13,13,13,150,30,100,220,"-99999999,0","18,5","23,0",23,"5,6",100,"22,0",195,93,545,"0,5",2662,40,440,105,21,20,0,"0,6","2,2","25,2","43,4","3,7","0,7","2,7","2,3","6,0","11,0","3,6","1,3","5,0","9,0","0,5","7,7","49,0","69,6","0,4","25,6","209,3","284,3","1,1","9,0","16,7","30,0","0,4","13,5","101,9","112,9","0,3","23,0","245,9","315,1","0,2","37,8","386,4","448,0","0,9","28,1","35,8","73,2","0,3","8,0","93,9","157,3","0,7","2,7","57,6","109,9","0,6","4,1","35,7","69,2","0,7","9,0","18,4","30,0","0,7","5,2","11,4","21,0","0,7","4,6","10,6","18,0","2,0","3,1","1,6","1,6","1,7","3,7","1,3","0,7","1,2","7,0","8,0","13,0","1,8","1,3","2,1","5,0","10,0","50,3","0,7","8,0","9,0","20,0","1,0","11,0","15,0","29,1",2020BU03440212,2020,"4,08629021804794","-1,59746330957500e-02","-4,22396341818355e-02","-1,13283572720487e-01","-7,56191679912415e-02","2,33717391369292e-01","-1,85496495714783e-02",    47.8,     9.0,    12.0,56.799999,59.099998,12.8,55.599998,    63.3,    17.1,"67,1","16,8",10250,11,56,36,66,30,13,39.140812,4.7732697,1.4319808,7.1599045,48.687351,9,12,47.8,12.8,-1.2599037,1.0837723,-.42640045,-1.6373382,-1.0646876,.77994084,1.4336233,.078143463,1.3539497,-1.1079555,1.0034395,.060241383,1.4096184,-.34507707,1.364151,1.305439,.42146304,0,2.1471076,2.2013438,2.2307172,2.4959733,-11.208297,-3.4381447,2.0761642,1.8928025,1407,5219,5083,5129,5020
